Allerhellegevakanz,W
allerlee,ADJ
allerlescht,ADJ
allerneist,ADJ
Aller-retour,M
Allerséilen,S
alles,PRON
allez,INTERJ
allgemeng,ADJ
Allgemengbildung,W
Allgemengheet,W
Allheelmëttel,S
Allianz,W
alliéiert,ADJ
alljärlech,ADJ
alljoers,ADV
allkéiers,ADV
allmächteg,ADJ
allméiglech,ADJ
Allocatioun,W
Allokatioun,W
Allür,W
Allure,W
Allusioun,W
allzäit,ADV
allze,ADV
Almillen,S
Almillen,S
Almosen,S
almoudesch,ADJ
aloggen,"VRB, HV hunn"
aloossen,"VRB, HV hunn"
Alpenheckeschlëffer,M
Alpenheckestéisser,M
Alpesandleefer,M
Alphabet,S
alphabetesch,ADJ
Alphabetisatioun,W
alphabetiséieren,"VRB, HV hunn"
Alphabetiséierung,W
Alpinist,M
Alpinistin,W
Alrodeschhaff,S
Alrodeschhaff,S
als,CONJ
Alschent,S
Alschent,S
also,ADV
Alstad,W
alt,ADV
alt,PART
Alt,M
Altbausanéierung,W
Alter,M
Älter,M
alternativ,ADJ
Alternativ,W
Alternativmedezin,W
Altersfleck,M
Altersgrenz,W
Altersheem,S
Altersheim,S
Altertum,S
Altess,W
Altor,M
Altstëmm,W
Altwis,S
Altwis,S
alueden,"VRB, HV hunn"
Aluedung,W
Aluminium,M
Alzeng,S
Alzeng,S
Alzheimer,M
am,PREP-plus-ART
amaachen,"VRB, HV hunn"
Amaachglas,S
Amaachglieschen,S
Amalgam,M
Amant,M
Amaranth,M
Amarsch,M
amarschéieren,"VRB, HV sinn"
Amateur,M
Amateur,M
Amateurin,W
Amateurismus,M
Amatrice,W
amaueren,"VRB, HV hunn"
Ambassade,W
Ambassadeur,M
Ambassadrice,W
Amber,S
Amber,S
Ambiance,W
ambigu,ADJ
Ambiguitéit,W
ambitiéis,ADJ
Ambitioun,W
Amblyopie,W
Amboss,M
ambulant,ADJ
Ambulanz,W
Ameis,W
Amelioratioun,W
Amen,M
amenagéieren,"VRB, HV hunn"
Amenagement,S
amendéieren,"VRB, HV hunn"
Amendement,M
Ament,M
Americium,M
Amerika,S
Amerikaner,M
Amerikanerin,W
amerikanesch,ADJ
Amerikaneschen Näerz,M
amëschen,"VRB, HV hunn"
ameséieren,"VRB, HV hunn"
am Gaang,ADV
am Gaangen,ADV
Amicale,W
Aminosaier,W
Ammoniak,M
Amnesie,W
Amnestie,W
Amok,M
Amoklaf,M
Amokleefer,M
Amokleeferin,W
amorph,ADJ
amortiséieren,"VRB, HV hunn"
Ampère,M
Ampère,M
Ampèremeter,M
Ampèremeter,M
amplaz,CONJ
amplaz,PREP
Ampull,W
Amputatioun,W
amputéieren,"VRB, HV hunn"
amstand,ADV
Amt,S
amtlech,ADJ
Amtsenthiewung,W
Amtssprooch,W
Amtszäit,W
amusant,ADJ
amüsant,ADJ
amuséieren,"VRB, HV hunn"
Amusement,S
An,S
an,CONJ
an,PREP
an,ADV
an,ADV
Anachronismus,M
anachronistesch,ADJ
anal,ADJ
Analfistel,W
Analgesique,M
Analgetikum,M
analog,ADJ
analog,ADJ
Analogie,W
Analphabet,M
Analphabetin,W
Analphabetismus,M
Analrass,M
Analrëss,M
Analys,W
analyséieren,"VRB, HV hunn"
Analytiker,M
Analytikerin,W
Anamnees,W
Ananas,MW
Anarchie,W
Anarchist,M
anarchistesch,ADJ
Anarchistin,W
anäscheren,"VRB, HV hunn"
Anäscherung,W
Anästhesie,W
Anästhesiemëttel,S
Anästhesist,M
Anästhesistin,W
Anatomie,W
anchecken,"VRB, HV hunn"
Anchois,W
Anciennetéit,W
Andacht,W
andächteg,ADJ
andämmen,"VRB, HV hunn"
andauernd,ADV
andecken,"VRB, HV hunn"
andeelen,"VRB, HV hunn"
Andeelung,W
andeem,CONJ
andeems,CONJ
an der Buerg,S
an der Buerg,S
Andorra,S
Andorraner,M
Andorranerin,W
andorranesch,ADJ
andrécken,"VRB, HV hunn"
andréien,"VRB, HV hunn"
andréinen,"VRB, HV hunn"
andreiwen,"VRB, HV hunn"
andréngen,"VRB, HV sinn"
Androck,M
androen,"VRB, HV hunn"
Anekdot,W
Anemie,W
anenaner,ADV
anenaner,ADV
anenanerrennen,"VRB, HV sinn"
aneneen,ADV
aneneen,ADV
aneneerennen,"VRB, HV sinn"
an engems,ADV
anengen,"VRB, HV hunn"
aner,PRON
anerem,PRON
aneren,PRON
anerer,PRON
anerersäits,ADV
aneres,PRON
anersäits,ADV
anert,PRON
anerwäerts,ADV
anescht,ADV
Angab,W
angeblech,ADJ
Angebot,S
angeeblech,ADJ
Angelduerf,S
Angelduerf,S
Angelsbierg,S
Angelsbierg,S
angeneem,ADJ
Angine,W
Angine de poitrine,W
Angiolog,M
Angiologie,W
Angiologin,W
Anglikaner,M
Anglikanerin,W
anglikanesch,ADJ
Angola,S
Angolaner,M
Angolanerin,W
angolanesch,ADJ
Angsber,S
Angsber,S
Angsbreg,S
Angsbreg,S
Angscht,W
ängschterlech,ADJ
ängschtlech,ADJ
Angschtschweess,M
anhaen,"VRB, HV hunn"
anhalen,"VRB, HV hunn"
Anhang,M
anhänken,"VRB, HV hunn"
anhuelen,"VRB, HV hunn"
aniichter,ADJ
Animateur,M
Animatioun,W
Animatrice,W
animéieren,"VRB, HV hunn"
Animositéit,W
Anker,M
Anlag,W
annäipen,"VRB, HV sinn"
Annalen,SUBST
annektéieren,"VRB, HV hunn"
Annektéierung,W
änneren,"VRB, HV hunn"
annerhallef,ADJ
Ännerung,W
Annex,W
annexéieren,"VRB, HV hunn"
Annexioun,W
Anniversaire,M
anno,ADV
Annonce,W
annoncéieren,"VRB, HV hunn"
Annotatioun,W
Annulatioun,W
annuléieren,"VRB, HV hunn"
Annuléierung,W
Anomalie,W
Anomalie,W
anonym,ADJ
Anonymitéit,W
anootmen,"VRB, HV hunn"
Anorak,M
Anorexie,W
